"newCohortId","newCohortName","databaseName","N","SUM_OT_YEARS","AVG_OT","STDDEV_OT","MIN_OT","P10_OT","P25_OT","P50_OT","P75_OT","P90_OT","MAX_OT","SUM_ITT_YEARS","AVG_ITT","STDDEV_ITT","MIN_ITT","P10_ITT","P25_ITT","P50_ITT","P75_ITT","P90_ITT","MAX_ITT"
1140003,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM CCAE",7525,1799.364818,87,103.187379313611,0,29,29,55,104,194,1211,13060.717316,633,545.925417098616,0,76,205,473,929,1451,2728
1140007,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM CCAE",7525,2647.665982,128,164.677896737656,0,29,29,64,158,313,2055,13060.717316,633,545.925417098616,0,76,205,473,929,1451,2728
1140015,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM CCAE",7525,3766.162902,182,239.974431381399,0,29,29,89,232,460,2238,13060.717316,633,545.925417098616,0,76,205,473,929,1451,2728
1140030,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM CCAE",7525,4923.331964,238,305.199670806807,0,29,29,119,317,615,2652,13060.717316,633,545.925417098616,0,76,205,473,929,1451,2728
1140103,"Female apixaban new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM CCAE",8247,2082.329911,92,106.233806085234,0,29,29,56,112,204,1651,12107.052703,536,433.106807860873,0,87,212,416,762,1166,2339
1140107,"Female apixaban new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM CCAE",8247,3143.753593,139,165.449616575333,0,29,29,86,178,334,1781,12107.052703,536,433.106807860873,0,87,212,416,762,1166,2339
1140115,"Female apixaban new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM CCAE",8247,4465.809719,197,234.564963782917,0,29,29,110,265,481,2036,12107.052703,536,433.106807860873,0,87,212,416,762,1166,2339
1140130,"Female apixaban new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM CCAE",8247,5900.958247,261,295.174032773857,0,29,56,157,358,643,2210,12107.052703,536,433.106807860873,0,87,212,416,762,1166,2339
1140203,"Female dabigatran new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM CCAE",4193,902.466803,78,86.878254959528,0,29,29,52,89,174,908,8538.721423,743,698.072285688977,0,85,221,504,1057,1789,3178
1140207,"Female dabigatran new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM CCAE",4193,1267.290896,110,136.241860423454,0,29,29,58,129,266,1525,8538.721423,743,698.072285688977,0,85,221,504,1057,1789,3178
1140215,"Female dabigatran new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM CCAE",4193,1797.667351,156,211.71489977908,0,29,29,85,186,383,2804,8538.721423,743,698.072285688977,0,85,221,504,1057,1789,3178
1140230,"Female dabigatran new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM CCAE",4193,2316.506502,201,270.953718509523,0,29,29,97,250,515,2804,8538.721423,743,698.072285688977,0,85,221,504,1057,1789,3178
1140303,"Female warfarin new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM CCAE",8800,2434.201232,101,126.791133859146,0,29,29,58,117,221,2355,16196.82683,672,640.135625027424,0,72,192,467,946,1581,3205
1140307,"Female warfarin new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM CCAE",8800,2434.201232,101,126.791133859146,0,29,29,58,117,221,2355,16196.82683,672,640.135625027424,0,72,192,467,946,1581,3205
1140315,"Female warfarin new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM CCAE",8800,2434.201232,101,126.791133859146,0,29,29,58,117,221,2355,16196.82683,672,640.135625027424,0,72,192,467,946,1581,3205
1140330,"Female warfarin new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM CCAE",8800,2434.201232,101,126.791133859146,0,29,29,58,117,221,2355,16196.82683,672,640.135625027424,0,72,192,467,946,1581,3205
1140403,"Female rivaroxaban new users with prior venous thromboembolism: 3 follow-up gap days","IBM CCAE",12270,2143.928815,63,72.7658226086731,0,20,29,37,82,136,2558,20681.494866,615,526.427864133753,0,78,200,460,902,1430,2558
1140407,"Female rivaroxaban new users with prior venous thromboembolism: 7 follow-up gap days","IBM CCAE",12270,3013.533196,89,113.06336366648,0,20,29,53,111,195,2558,20681.494866,615,526.427864133753,0,78,200,460,902,1430,2558
1140415,"Female rivaroxaban new users with prior venous thromboembolism: 15 follow-up gap days","IBM CCAE",12270,4292.43258,127,169.453127159039,0,20,29,78,163,283,2558,20681.494866,615,526.427864133753,0,78,200,460,902,1430,2558
1140430,"Female rivaroxaban new users with prior venous thromboembolism: 30 follow-up gap days","IBM CCAE",12270,5789.248459,172,223.551468284493,0,20,41,105,200,374,2558,20681.494866,615,526.427864133753,0,78,200,460,902,1430,2558
1140503,"Female apixaban new users with prior venous thromboembolism: 3 follow-up gap days","IBM CCAE",5203,978.329911,68,70.7468923646337,0,20,29,51,87,146,942,6644.709103,466,357.320959189074,0,75,194,381,663,985,2315
1140507,"Female apixaban new users with prior venous thromboembolism: 7 follow-up gap days","IBM CCAE",5203,1359.466119,95,101.837935357927,0,22,29,60,121,208,1168,6644.709103,466,357.320959189074,0,75,194,381,663,985,2315
1140515,"Female apixaban new users with prior venous thromboembolism: 15 follow-up gap days","IBM CCAE",5203,1882.26694,132,148.439282357591,0,27,29,88,175,293,1405,6644.709103,466,357.320959189074,0,75,194,381,663,985,2315
1140530,"Female apixaban new users with prior venous thromboembolism: 30 follow-up gap days","IBM CCAE",5203,2377.278576,166,182.78635969064,0,29,51,108,208,381,1500,6644.709103,466,357.320959189074,0,75,194,381,663,985,2315
1140603,"Female dabigatran new users with prior venous thromboembolism: 3 follow-up gap days","IBM CCAE",326,66.392881,74,68.3735734063185,2,29,29,56,89,147,613,556.61054,623,524.722955014016,2,77,223,511,887,1294,3128
1140607,"Female dabigatran new users with prior venous thromboembolism: 7 follow-up gap days","IBM CCAE",326,85.806981,96,96.820099444494,2,29,29,59,118,217,625,556.61054,623,524.722955014016,2,77,223,511,887,1294,3128
1140615,"Female dabigatran new users with prior venous thromboembolism: 15 follow-up gap days","IBM CCAE",326,112.112251,125,138.292527464178,2,29,29,86,171,292,1129,556.61054,623,524.722955014016,2,77,223,511,887,1294,3128
1140630,"Female dabigatran new users with prior venous thromboembolism: 30 follow-up gap days","IBM CCAE",326,136.599589,153,191.572073681991,2,29,29,89,194,342,1235,556.61054,623,524.722955014016,2,77,223,511,887,1294,3128
1140703,"Female warfarin new users with prior venous thromboembolism: 3 follow-up gap days","IBM CCAE",25955,6688.761122,94,102.830189863836,0,29,29,61,119,198,2009,53120.421629,747,717.610650207466,0,75,199,500,1078,1844,3200
1140707,"Female warfarin new users with prior venous thromboembolism: 7 follow-up gap days","IBM CCAE",25955,6688.761122,94,102.830189863836,0,29,29,61,119,198,2009,53120.421629,747,717.610650207466,0,75,199,500,1078,1844,3200
1140715,"Female warfarin new users with prior venous thromboembolism: 15 follow-up gap days","IBM CCAE",25955,6688.761122,94,102.830189863836,0,29,29,61,119,198,2009,53120.421629,747,717.610650207466,0,75,199,500,1078,1844,3200
1140730,"Female warfarin new users with prior venous thromboembolism: 30 follow-up gap days","IBM CCAE",25955,6688.761122,94,102.830189863836,0,29,29,61,119,198,2009,53120.421629,747,717.610650207466,0,75,199,500,1078,1844,3200
1141203,"Female rivaroxaban new users with prior knee or hip replacement surgery: 3 follow-up gap days","IBM CCAE",18659,807.474332,15,9.31445860179252,0,8,9,13,22,29,236,36968.774811,723,634.279508394972,0,84,218,527,1081,1697,2897
1141207,"Female rivaroxaban new users with prior knee or hip replacement surgery: 7 follow-up gap days","IBM CCAE",18659,814.12731,15,10.0753801368826,0,8,9,13,23,29,267,36968.774811,723,634.279508394972,0,84,218,527,1081,1697,2897
1141215,"Female rivaroxaban new users with prior knee or hip replacement surgery: 15 follow-up gap days","IBM CCAE",18659,822.370978,16,10.8925262319975,0,8,9,13,23,29,308,36968.774811,723,634.279508394972,0,84,218,527,1081,1697,2897
1141230,"Female rivaroxaban new users with prior knee or hip replacement surgery: 30 follow-up gap days","IBM CCAE",18659,843.904175,16,15.1343780883978,0,8,9,13,24,29,1070,36968.774811,723,634.279508394972,0,84,218,527,1081,1697,2897
1141303,"Female apixaban new users with prior knee or hip replacement surgery: 3 follow-up gap days","IBM CCAE",2077,100.303901,17,12.0600851371377,0,9,11,13,29,29,222,2853.42642,501,389.396580508452,0,86,198,401,733,1075,1809
1141307,"Female apixaban new users with prior knee or hip replacement surgery: 7 follow-up gap days","IBM CCAE",2077,102.496919,18,16.2850000682249,0,9,11,13,29,29,481,2853.42642,501,389.396580508452,0,86,198,401,733,1075,1809
1141315,"Female apixaban new users with prior knee or hip replacement surgery: 15 follow-up gap days","IBM CCAE",2077,105.801505,18,19.8168158697192,0,9,11,13,29,29,481,2853.42642,501,389.396580508452,0,86,198,401,733,1075,1809
1141330,"Female apixaban new users with prior knee or hip replacement surgery: 30 follow-up gap days","IBM CCAE",2077,110.633812,19,24.8831482087136,0,9,11,13,29,29,481,2853.42642,501,389.396580508452,0,86,198,401,733,1075,1809
1141403,"Female dabigatran new users with prior knee or hip replacement surgery: 3 follow-up gap days","IBM CCAE",12,1.138945,34,47.2504609565458,1,9,9,29,29,29,181,21.927446,667,790.716643688534,46,74,86,508,575,1351,2860
1141407,"Female dabigatran new users with prior knee or hip replacement surgery: 7 follow-up gap days","IBM CCAE",12,1.138945,34,47.2504609565458,1,9,9,29,29,29,181,21.927446,667,790.716643688534,46,74,86,508,575,1351,2860
1141415,"Female dabigatran new users with prior knee or hip replacement surgery: 15 follow-up gap days","IBM CCAE",12,1.138945,34,47.2504609565458,1,9,9,29,29,29,181,21.927446,667,790.716643688534,46,74,86,508,575,1351,2860
1141430,"Female dabigatran new users with prior knee or hip replacement surgery: 30 follow-up gap days","IBM CCAE",12,1.138945,34,47.2504609565458,1,9,9,29,29,29,181,21.927446,667,790.716643688534,46,74,86,508,575,1351,2860
1141503,"Female warfarin new users with prior knee or hip replacement surgery: 3 follow-up gap days","IBM CCAE",22143,1735.520876,28,16.3917245386267,0,13,20,29,29,44,522,46442.023271,766,696.045852895377,0,87,227,537,1123,1802,3205
1141507,"Female warfarin new users with prior knee or hip replacement surgery: 7 follow-up gap days","IBM CCAE",22143,1735.520876,28,16.3917245386267,0,13,20,29,29,44,522,46442.023271,766,696.045852895377,0,87,227,537,1123,1802,3205
1141515,"Female warfarin new users with prior knee or hip replacement surgery: 15 follow-up gap days","IBM CCAE",22143,1735.520876,28,16.3917245386267,0,13,20,29,29,44,522,46442.023271,766,696.045852895377,0,87,227,537,1123,1802,3205
1141530,"Female warfarin new users with prior knee or hip replacement surgery: 30 follow-up gap days","IBM CCAE",22143,1735.520876,28,16.3917245386267,0,13,20,29,29,44,522,46442.023271,766,696.045852895377,0,87,227,537,1123,1802,3205
1140003,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM MDCR",14817,4703.397672,115,147.704354847271,0,23,29,76,141,270,2099,30686.261464,756,578.208243417785,0,105,271,627,1143,1627,2694
1140007,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM MDCR",14817,6767.594798,166,217.018785624437,0,26,29,89,205,408,2305,30686.261464,756,578.208243417785,0,105,271,627,1143,1627,2694
1140015,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM MDCR",14817,9672.651608,238,308.672616822171,0,29,29,115,316,620,2514,30686.261464,756,578.208243417785,0,105,271,627,1143,1627,2694
1140030,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM MDCR",14817,12939.353867,318,394.1965339289,0,29,54,161,428,862,2552,30686.261464,756,578.208243417785,0,105,271,627,1143,1627,2694
1140103,"Female apixaban new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM MDCR",18499,5947.701574,117,149.873786661284,0,26,29,67,143,276,1695,29770.206707,587,460.562408994089,0,83,226,470,866,1269,2305
1140107,"Female apixaban new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM MDCR",18499,8684.323066,171,216.43121624671,0,29,29,89,222,431,2220,29770.206707,587,460.562408994089,0,83,226,470,866,1269,2305
1140115,"Female apixaban new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM MDCR",18499,12228.566735,241,289.557309911903,0,29,32,125,336,616,2258,29770.206707,587,460.562408994089,0,83,226,470,866,1269,2305
1140130,"Female apixaban new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM MDCR",18499,16148.238193,318,355.047231078479,0,29,59,187,455,820,2305,29770.206707,587,460.562408994089,0,83,226,470,866,1269,2305
1140203,"Female dabigatran new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM MDCR",8571,2433.853524,103,119.765013155623,0,29,29,60,119,235,1223,22995.720739,979,726.655955130895,0,135,361,842,1472,2084,3171
1140207,"Female dabigatran new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM MDCR",8571,3402.652977,145,177.044087335056,0,29,29,89,179,348,1884,22995.720739,979,726.655955130895,0,135,361,842,1472,2084,3171
1140215,"Female dabigatran new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM MDCR",8571,4858.765229,207,261.495695977175,0,29,29,102,267,521,2870,22995.720739,979,726.655955130895,0,135,361,842,1472,2084,3171
1140230,"Female dabigatran new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM MDCR",8571,6805.305954,290,368.285087832273,0,29,54,146,380,749,3052,22995.720739,979,726.655955130895,0,135,361,842,1472,2084,3171
1140303,"Female warfarin new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM MDCR",28240,8861.82067,114,145.133458180178,0,29,29,66,133,265,2277,63785.618069,824,675.107906085801,0,100,268,657,1246,1859,3206
1140307,"Female warfarin new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM MDCR",28240,8861.82067,114,145.133458180178,0,29,29,66,133,265,2277,63785.618069,824,675.107906085801,0,100,268,657,1246,1859,3206
1140315,"Female warfarin new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM MDCR",28240,8861.82067,114,145.133458180178,0,29,29,66,133,265,2277,63785.618069,824,675.107906085801,0,100,268,657,1246,1859,3206
1140330,"Female warfarin new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM MDCR",28240,8861.82067,114,145.133458180178,0,29,29,66,133,265,2277,63785.618069,824,675.107906085801,0,100,268,657,1246,1859,3206
1140403,"Female rivaroxaban new users with prior venous thromboembolism: 3 follow-up gap days","IBM MDCR",5834,1229.486652,76,91.8977344443171,0,14,29,45,98,175,1549,10513.270362,658,528.02225164213,0,81,225,521,991,1460,2499
1140407,"Female rivaroxaban new users with prior venous thromboembolism: 7 follow-up gap days","IBM MDCR",5834,1659.008898,103,129.937434938097,0,14,29,59,134,229,1549,10513.270362,658,528.02225164213,0,81,225,521,991,1460,2499
1140415,"Female rivaroxaban new users with prior venous thromboembolism: 15 follow-up gap days","IBM MDCR",5834,2265.037645,141,181.888709458145,0,18,29,89,181,331,1854,10513.270362,658,528.02225164213,0,81,225,521,991,1460,2499
1140430,"Female rivaroxaban new users with prior venous thromboembolism: 30 follow-up gap days","IBM MDCR",5834,3010.839151,188,240.333195798191,0,20,41,111,219,441,2077,10513.270362,658,528.02225164213,0,81,225,521,991,1460,2499
1140503,"Female apixaban new users with prior venous thromboembolism: 3 follow-up gap days","IBM MDCR",2931,663.452429,82,97.4049725522684,0,6,29,52,111,196,918,3713.344284,462,364.650760983457,0,79,188,353,671,1006,2041
1140507,"Female apixaban new users with prior venous thromboembolism: 7 follow-up gap days","IBM MDCR",2931,891.745379,111,132.622084324937,0,6,29,65,152,260,1250,3713.344284,462,364.650760983457,0,79,188,353,671,1006,2041
1140515,"Female apixaban new users with prior venous thromboembolism: 15 follow-up gap days","IBM MDCR",2931,1205.043121,150,182.799964724389,0,7,29,89,199,357,1569,3713.344284,462,364.650760983457,0,79,188,353,671,1006,2041
1140530,"Female apixaban new users with prior venous thromboembolism: 30 follow-up gap days","IBM MDCR",2931,1517.497604,189,218.510504464018,0,22,38,115,243,458,1610,3713.344284,462,364.650760983457,0,79,188,353,671,1006,2041
1140603,"Female dabigatran new users with prior venous thromboembolism: 3 follow-up gap days","IBM MDCR",206,44.380561,78,91.6731765568516,0,29,29,48,103,172,796,434.072553,769,659.459067662887,0,87,242,610,1135,1733,3127
1140607,"Female dabigatran new users with prior venous thromboembolism: 7 follow-up gap days","IBM MDCR",206,60.643394,107,135.813993650943,0,29,29,60,124,264,1140,434.072553,769,659.459067662887,0,87,242,610,1135,1733,3127
1140615,"Female dabigatran new users with prior venous thromboembolism: 15 follow-up gap days","IBM MDCR",206,78.466803,139,190.430638015162,0,29,29,80,180,334,1314,434.072553,769,659.459067662887,0,87,242,610,1135,1733,3127
1140630,"Female dabigatran new users with prior venous thromboembolism: 30 follow-up gap days","IBM MDCR",206,90.872005,161,217.658895881129,0,29,29,89,188,363,1314,434.072553,769,659.459067662887,0,87,242,610,1135,1733,3127
1140703,"Female warfarin new users with prior venous thromboembolism: 3 follow-up gap days","IBM MDCR",17892,5197.993155,106,126.375886925817,0,27,29,65,132,228,2140,40648.320328,829,699.663608108082,0,87,245,640,1284,1899,3202
1140707,"Female warfarin new users with prior venous thromboembolism: 7 follow-up gap days","IBM MDCR",17892,5197.993155,106,126.375886925817,0,27,29,65,132,228,2140,40648.320328,829,699.663608108082,0,87,245,640,1284,1899,3202
1140715,"Female warfarin new users with prior venous thromboembolism: 15 follow-up gap days","IBM MDCR",17892,5197.993155,106,126.375886925817,0,27,29,65,132,228,2140,40648.320328,829,699.663608108082,0,87,245,640,1284,1899,3202
1140730,"Female warfarin new users with prior venous thromboembolism: 30 follow-up gap days","IBM MDCR",17892,5197.993155,106,126.375886925817,0,27,29,65,132,228,2140,40648.320328,829,699.663608108082,0,87,245,640,1284,1899,3202
1141203,"Female rivaroxaban new users with prior knee or hip replacement surgery: 3 follow-up gap days","IBM MDCR",8216,360.922655,16,14.3428680299046,0,6,9,13,24,29,358,20367.411362,905,654.53369344923,0,132,349,787,1376,1878,2914
1141207,"Female rivaroxaban new users with prior knee or hip replacement surgery: 7 follow-up gap days","IBM MDCR",8216,365.845311,16,15.4329223792265,0,6,9,13,24,29,383,20367.411362,905,654.53369344923,0,132,349,787,1376,1878,2914
1141215,"Female rivaroxaban new users with prior knee or hip replacement surgery: 15 follow-up gap days","IBM MDCR",8216,379.482546,16,30.6017190489202,0,6,9,13,24,29,1900,20367.411362,905,654.53369344923,0,132,349,787,1376,1878,2914
1141230,"Female rivaroxaban new users with prior knee or hip replacement surgery: 30 follow-up gap days","IBM MDCR",8216,390.220396,17,35.9731305915654,0,6,9,13,24,29,1900,20367.411362,905,654.53369344923,0,132,349,787,1376,1878,2914
1141303,"Female apixaban new users with prior knee or hip replacement surgery: 3 follow-up gap days","IBM MDCR",876,42.685831,17,13.8482071578699,0,5,9,13,29,29,163,1337.585215,557,405.958447937784,2,94,235,460,795,1182,1842
1141307,"Female apixaban new users with prior knee or hip replacement surgery: 7 follow-up gap days","IBM MDCR",876,44.626967,18,18.4548534302965,0,6,9,13,29,29,265,1337.585215,557,405.958447937784,2,94,235,460,795,1182,1842
1141315,"Female apixaban new users with prior knee or hip replacement surgery: 15 follow-up gap days","IBM MDCR",876,45.982203,19,20.6266671073066,0,6,9,13,29,29,265,1337.585215,557,405.958447937784,2,94,235,460,795,1182,1842
1141330,"Female apixaban new users with prior knee or hip replacement surgery: 30 follow-up gap days","IBM MDCR",876,46.877481,19,21.7835894593281,0,6,9,13,29,29,265,1337.585215,557,405.958447937784,2,94,235,460,795,1182,1842
1141403,"Female dabigatran new users with prior knee or hip replacement surgery: 3 follow-up gap days","IBM MDCR",9,0.646132,26,8.33333333333333,4,4,29,29,29,29,29,18.795345,762,485.149146597667,177,177,341,679,1079,1525,1525
1141407,"Female dabigatran new users with prior knee or hip replacement surgery: 7 follow-up gap days","IBM MDCR",9,0.646132,26,8.33333333333333,4,4,29,29,29,29,29,18.795345,762,485.149146597667,177,177,341,679,1079,1525,1525
1141415,"Female dabigatran new users with prior knee or hip replacement surgery: 15 follow-up gap days","IBM MDCR",9,1.09514,44,56.3185384911379,4,4,29,29,29,193,193,18.795345,762,485.149146597667,177,177,341,679,1079,1525,1525
1141430,"Female dabigatran new users with prior knee or hip replacement surgery: 30 follow-up gap days","IBM MDCR",9,2.4449,99,134.257008921115,4,4,29,29,82,368,368,18.795345,762,485.149146597667,177,177,341,679,1079,1525,1525
1141503,"Female warfarin new users with prior knee or hip replacement surgery: 3 follow-up gap days","IBM MDCR",12445,982.743326,28,25.4978111883405,0,9,19,29,29,46,1137,34779.33744,1020,745.176936013598,1,137,386,882,1550,2106,3204
1141507,"Female warfarin new users with prior knee or hip replacement surgery: 7 follow-up gap days","IBM MDCR",12445,982.743326,28,25.4978111883405,0,9,19,29,29,46,1137,34779.33744,1020,745.176936013598,1,137,386,882,1550,2106,3204
1141515,"Female warfarin new users with prior knee or hip replacement surgery: 15 follow-up gap days","IBM MDCR",12445,982.743326,28,25.4978111883405,0,9,19,29,29,46,1137,34779.33744,1020,745.176936013598,1,137,386,882,1550,2106,3204
